C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
0021200099,0021300099,0021400099,0021500099,0021600099,0021700099,0021800099,0022100099,0022200099,0022300099,0022400099
0021200100,0021300100,0021400100,0021500100,0021600100,0021700100,0021800100,0022100100,0022200100,0022300100,0022400100
0021200101,0021300101,0021400101,0021500101,0021600101,0021700101,0021800101,0022100101,0022200101,0022300101,0022400101
0021200102,0021300102,0021400102,0021500102,0021600102,0021700102,0021800102,0022100102,0022200102,0022300102,0022400102
0021200103,0021300103,0021400103,0021500103,0021600103,0021700103,0021800103,0022100103,0022200103,0022300103,0022400103
0021200104,0021300104,0021400104,0021500104,0021600104,0021700104,0021800104,0022100104,0022200104,0022300104,0022400104
0021200105,0021300105,0021400105,0021500105,0021600105,0021700105,0021800105,0022100105,0022200105,0022300105,0022400105
0021200106,0021300106,0021400106,0021500106,0021600106,0021700106,0021800106,0022100106,0022200106,0022300106,0022400106
0021200107,0021300107,0021400107,0021500107,0021600107,0021700107,0021800107,0022100107,0022200107,0022300107,0022400107
0021200108,0021300108,0021400108,0021500108,0021600108,0021700108,0021800108,0022100108,0022200108,0022300108,0022400108
0021200109,0021300109,0021400109,0021500109,0021600109,0021700109,0021800109,0022100109,0022200109,0022300109,0022400109
0021200110,0021300110,0021400110,0021500110,0021600110,0021700110,0021800110,0022100110,0022200110,0022300110,0022400110
0021200111,0021300111,0021400111,0021500111,0021600111,0021700111,0021800111,0022100111,0022200111,0022300111,0022400111
0021200112,0021300112,0021400112,0021500112,0021600112,0021700112,0021800112,0022100112,0022200112,0022300112,0022400112
0021200113,0021300113,0021400113,0021500113,0021600113,0021700113,0021800113,0022100113,0022200113,0022300113,0022400113
0021200114,0021300114,0021400114,0021500114,0021600114,0021700114,0021800114,0022100114,0022200114,0022300114,0022400114
0021200115,0021300115,0021400115,0021500115,0021600115,0021700115,0021800115,0022100115,0022200115,0022300115,0022400115
0021200116,0021300116,0021400116,0021500116,0021600116,0021700116,0021800116,0022100116,0022200116,0022300116,0022400116
0021200117,0021300117,0021400117,0021500117,0021600117,0021700117,0021800117,0022100117,0022200117,0022300117,0022400117
0021200118,0021300118,0021400118,0021500118,0021600118,0021700118,0021800118,0022100118,0022200118,0022300118,0022400118
